dt_package;country;service;liter;qty
2024-12-08;BY;NRM;D;63.0
2024-12-08;BY;NRM;E;6.0
2024-12-08;KG;NRM;A;373.0
2024-12-08;KG;NRM;B;403.0
2024-12-08;KG;NRM;C;97.0
2024-12-08;KG;NRM;D;38.0
2024-12-08;KG;NRM;E;4.0
2024-12-09;AZ;NRM;A;319.0
2024-12-09;AZ;NRM;B;658.0
2024-12-09;AZ;NRM;C;173.0
2024-12-09;AZ;NRM;D;67.0
2024-12-09;AZ;NRM;E;7.0
2024-12-09;AZ;NRM;F;3.0
2024-12-09;BY;NRM;A;2019.0
2024-12-09;BY;NRM;B;1749.0
2024-12-09;BY;NRM;C;97.0
2024-12-09;BY;NRM;D;22.0
2024-12-09;BY;NRM;E;1.0
2024-12-09;KG;NRM;A;165.0
2024-12-09;KG;NRM;B;209.0
2024-12-09;KG;NRM;C;45.0
2024-12-09;KG;NRM;D;11.0
2024-12-09;KG;NRM;E;1.0
2024-12-10;AZ;NRM;A;144.0
2024-12-10;AZ;NRM;B;226.0
2024-12-10;AZ;NRM;C;73.0
2024-12-10;AZ;NRM;D;40.0
2024-12-10;AZ;NRM;E;1.0
2024-12-10;BY;NRM;A;517.0
2024-12-10;BY;NRM;B;545.0
2024-12-10;BY;NRM;C;31.0
2024-12-10;BY;NRM;D;3.0
2024-12-10;BY;NRM;E;1.0
2024-12-10;KG;NRM;A;61.0
2024-12-10;KG;NRM;B;89.0
2024-12-10;KG;NRM;C;19.0
2024-12-10;KG;NRM;D;7.0
2024-12-11;AZ;NRM;A;365.0
2024-12-11;AZ;NRM;B;614.0
2024-12-11;AZ;NRM;C;173.0
2024-12-11;AZ;NRM;D;69.0
2024-12-11;AZ;NRM;E;2.0
2024-12-11;BY;NRM;A;2409.0
2024-12-11;BY;NRM;B;1903.0
2024-12-11;BY;NRM;C;93.0
2024-12-11;BY;NRM;D;24.0
2024-12-11;BY;NRM;E;2.0
2024-12-11;KG;NRM;A;174.0
2024-12-11;KG;NRM;B;237.0
2024-12-11;KG;NRM;C;43.0
2024-12-11;KG;NRM;D;13.0
2024-12-11;KG;NRM;E;2.0
2024-12-11;KG;NRM;G;1.0
2024-12-12;AZ;NRM;A;223.0
2024-12-12;AZ;NRM;B;404.0
2024-12-12;AZ;NRM;C;101.0
2024-12-12;AZ;NRM;D;29.0
2024-12-12;AZ;NRM;E;2.0
2024-12-12;BY;NRM;A;1341.0
2024-12-12;BY;NRM;B;1008.0
2024-12-12;BY;NRM;C;50.0
2024-12-12;BY;NRM;D;4.0
2024-12-12;BY;NRM;E;2.0
2024-12-12;BY;NRM;G;1.0
2024-12-12;KG;NRM;A;108.0
2024-12-12;KG;NRM;B;117.0
2024-12-12;KG;NRM;C;24.0
2024-12-12;KG;NRM;D;4.0
2024-12-13;AZ;NRM;A;229.0
2024-12-13;AZ;NRM;B;428.0
2024-12-13;AZ;NRM;C;101.0
2024-12-13;AZ;NRM;D;41.0
2024-12-13;AZ;NRM;E;7.0
2024-12-13;BY;NRM;A;1490.0
2024-12-13;BY;NRM;B;1235.0
2024-12-13;BY;NRM;C;80.0
2024-12-13;BY;NRM;D;10.0
2024-12-13;BY;NRM;E;1.0
2024-12-13;KG;NRM;A;107.0
2024-12-13;KG;NRM;B;135.0
2024-12-13;KG;NRM;C;17.0
2024-12-13;KG;NRM;D;12.0
2024-12-15;AZ;NRM;A;567.0
2024-12-15;AZ;NRM;B;938.0
2024-12-15;AZ;NRM;C;294.0
2024-12-15;AZ;NRM;D;79.0
2024-12-15;AZ;NRM;E;12.0
2024-12-15;AZ;NRM;F;1.0
2024-12-15;BY;NRM;A;3479.0
2024-12-15;BY;NRM;B;2875.0
2024-12-15;BY;NRM;C;144.0
2024-12-15;BY;NRM;D;29.0
2024-12-15;BY;NRM;E;4.0
2024-12-15;KG;NRM;A;217.0
2024-12-15;KG;NRM;B;274.0
2024-12-15;KG;NRM;C;53.0
2024-12-15;KG;NRM;D;19.0
2024-12-15;KG;NRM;E;4.0
2024-12-15;KG;NRM;F;1.0
2024-12-16;AZ;NRM;A;171.0
2024-12-16;AZ;NRM;B;308.0
2024-12-16;AZ;NRM;C;86.0
2024-12-16;AZ;NRM;D;36.0
2024-12-16;AZ;NRM;E;2.0
2024-12-16;BY;NRM;A;1476.0
2024-12-16;BY;NRM;B;1181.0
2024-12-16;BY;NRM;C;73.0
2024-12-16;BY;NRM;D;12.0
2024-12-16;BY;NRM;E;1.0
2024-12-16;BY;NRM;F;1.0
2024-12-16;KG;NRM;A;85.0
2024-12-16;KG;NRM;B;101.0
2024-12-16;KG;NRM;C;23.0
2024-12-16;KG;NRM;D;5.0
2024-12-16;KG;NRM;E;1.0
2024-12-19;AZ;NRM;A;585.0
2024-12-19;AZ;NRM;B;1075.0
2024-12-19;AZ;NRM;C;291.0
2024-12-19;AZ;NRM;D;115.0
2024-12-19;AZ;NRM;E;16.0
2024-12-19;AZ;NRM;F;1.0
2024-12-19;BY;NRM;A;4161.0
2024-12-19;BY;NRM;B;3858.0
2024-12-19;BY;NRM;C;215.0
2024-12-19;BY;NRM;D;37.0
2024-12-19;BY;NRM;E;5.0
2024-12-19;BY;NRM;G;1.0
2024-12-19;KG;NRM;A;289.0
2024-12-19;KG;NRM;B;386.0
2024-12-19;KG;NRM;C;75.0
2024-12-19;KG;NRM;D;23.0
2024-12-19;KG;NRM;E;2.0
2024-12-19;KG;NRM;F;2.0
2024-12-20;AZ;NRM;A;208.0
2024-12-20;AZ;NRM;B;334.0
2024-12-20;AZ;NRM;C;99.0
2024-12-20;AZ;NRM;D;35.0
2024-12-20;AZ;NRM;E;2.0
2024-12-20;AZ;NRM;F;1.0
2024-12-20;BY;NRM;A;2570.0
2024-12-20;BY;NRM;B;1890.0
2024-12-20;BY;NRM;C;107.0
2024-12-20;BY;NRM;D;23.0
2024-12-20;BY;NRM;E;2.0
2024-12-20;KG;NRM;A;151.0
2024-12-20;KG;NRM;B;160.0
2024-12-20;KG;NRM;C;27.0
2024-12-20;KG;NRM;D;21.0
2024-12-20;KG;NRM;E;5.0
2024-12-22;AZ;NRM;A;473.0
2024-12-22;AZ;NRM;B;767.0
2024-12-22;AZ;NRM;C;185.0
2024-12-22;AZ;NRM;D;62.0
2024-12-22;AZ;NRM;E;5.0
2024-12-22;BY;NRM;A;3519.0
2024-12-22;BY;NRM;B;3015.0
2024-12-22;BY;NRM;C;161.0
2024-12-22;BY;NRM;D;30.0
2024-12-22;BY;NRM;E;3.0
2024-12-22;KG;NRM;A;213.0
2024-12-22;KG;NRM;B;306.0
2024-12-22;KG;NRM;C;48.0
2024-12-22;KG;NRM;D;21.0
2024-12-22;KG;NRM;E;3.0
2024-12-23;AZ;NRM;A;216.0
2024-12-23;AZ;NRM;B;328.0
2024-12-23;AZ;NRM;C;114.0
2024-12-23;AZ;NRM;D;26.0
2024-12-23;AZ;NRM;E;7.0
2024-12-23;BY;NRM;A;1667.0
2024-12-23;BY;NRM;B;1320.0
2024-12-23;BY;NRM;C;66.0
2024-12-23;BY;NRM;D;18.0
2024-12-23;BY;NRM;E;1.0
2024-12-23;KG;NRM;A;100.0
2024-12-23;KG;NRM;B;83.0
2024-12-23;KG;NRM;C;32.0
2024-12-23;KG;NRM;D;15.0
2024-12-23;KG;NRM;E;1.0
2024-12-25;AZ;NRM;A;374.0
2024-12-25;AZ;NRM;B;624.0
2024-12-25;AZ;NRM;C;167.0
2024-12-25;AZ;NRM;D;70.0
2024-12-25;AZ;NRM;E;10.0
2024-12-25;AZ;NRM;G;1.0
2024-12-25;BY;NRM;A;3108.0
2024-12-25;BY;NRM;B;2552.0
2024-12-25;BY;NRM;C;139.0
2024-12-25;BY;NRM;D;26.0
2024-12-25;BY;NRM;E;4.0
2024-12-25;KG;NRM;A;184.0
2024-12-25;KG;NRM;B;200.0
2024-12-25;KG;NRM;C;40.0
2024-12-25;KG;NRM;D;16.0
2024-12-25;KG;NRM;E;5.0
2024-12-26;AZ;NRM;A;194.0
2024-12-26;AZ;NRM;B;311.0
2024-12-26;AZ;NRM;C;64.0
2024-12-26;AZ;NRM;D;21.0
2024-12-26;AZ;NRM;E;1.0
2024-12-26;BY;NRM;A;1532.0
2024-12-26;BY;NRM;B;1090.0
2024-12-26;BY;NRM;C;53.0
2024-12-26;BY;NRM;D;14.0
2024-12-26;BY;NRM;E;2.0
2024-12-26;KG;NRM;A;83.0
2024-12-26;KG;NRM;B;102.0
2024-12-26;KG;NRM;C;19.0
2024-12-26;KG;NRM;D;9.0
2024-12-26;KG;NRM;E;1.0
2024-12-27;AZ;NRM;A;227.0
2024-12-27;AZ;NRM;B;316.0
2024-12-27;AZ;NRM;C;78.0
2024-12-27;AZ;NRM;D;33.0
2024-12-27;AZ;NRM;E;4.0
2024-12-27;BY;NRM;A;1764.0
2024-12-27;BY;NRM;B;1430.0
2024-12-27;BY;NRM;C;73.0
2024-12-27;BY;NRM;D;10.0
2024-12-27;BY;NRM;E;4.0
2024-12-27;KG;NRM;A;70.0
2024-12-27;KG;NRM;B;95.0
2024-12-27;KG;NRM;C;12.0
2024-12-27;KG;NRM;D;5.0
2024-12-29;AZ;NRM;A;420.0
2024-12-29;AZ;NRM;B;671.0
2024-12-29;AZ;NRM;C;180.0
2024-12-29;AZ;NRM;D;76.0
2024-12-29;AZ;NRM;E;9.0
2024-12-29;BY;NRM;A;3376.0
2024-12-29;BY;NRM;B;2775.0
2024-12-29;BY;NRM;C;154.0
2024-12-29;BY;NRM;D;37.0
2024-12-29;KG;NRM;A;185.0
2024-12-29;KG;NRM;B;204.0
2024-12-29;KG;NRM;C;41.0
2024-12-29;KG;NRM;D;17.0
2024-12-29;KG;NRM;F;1.0
2024-12-30;AZ;NRM;A;153.0
2024-12-30;AZ;NRM;B;294.0
2024-12-30;AZ;NRM;C;84.0
2024-12-30;AZ;NRM;D;24.0
2024-12-30;AZ;NRM;E;4.0
2024-12-30;BY;NRM;A;1401.0
2024-12-30;BY;NRM;B;1242.0
2024-12-30;BY;NRM;C;63.0
2024-12-30;BY;NRM;D;17.0
2024-12-30;BY;NRM;E;3.0
2024-12-30;KG;NRM;A;84.0
2024-12-30;KG;NRM;B;99.0
2024-12-30;KG;NRM;C;28.0
2024-12-30;KG;NRM;D;5.0
2025-01-01;AZ;NRM;A;396.0
2025-01-01;AZ;NRM;B;594.0
2025-01-01;AZ;NRM;C;146.0
2025-01-01;AZ;NRM;D;57.0
2025-01-01;AZ;NRM;E;9.0
2025-01-01;AZ;NRM;F;1.0
2025-01-01;BY;NRM;A;3002.0
2025-01-01;BY;NRM;B;2437.0
2025-01-01;BY;NRM;C;106.0
2025-01-01;BY;NRM;D;34.0
2025-01-01;BY;NRM;E;6.0
2025-01-01;KG;NRM;A;196.0
2025-01-01;KG;NRM;B;228.0
2025-01-01;KG;NRM;C;35.0
2025-01-01;KG;NRM;D;14.0
2025-01-01;KG;NRM;E;4.0
2025-01-03;AZ;NRM;A;383.0
2025-01-03;AZ;NRM;B;566.0
2025-01-03;AZ;NRM;C;176.0
2025-01-03;AZ;NRM;D;49.0
2025-01-03;AZ;NRM;E;4.0
2025-01-03;AZ;NRM;G;1.0
2025-01-03;BY;NRM;A;3493.0
2025-01-03;BY;NRM;B;2409.0
2025-01-03;BY;NRM;C;126.0
2025-01-03;BY;NRM;D;23.0
2025-01-03;KG;NRM;A;199.0
2025-01-03;KG;NRM;B;222.0
2025-01-03;KG;NRM;C;34.0
2025-01-03;KG;NRM;D;8.0
2025-01-03;KG;NRM;E;1.0
2025-01-05;AZ;NRM;A;433.0
2025-01-05;AZ;NRM;B;637.0
2025-01-05;AZ;NRM;C;155.0
2025-01-05;AZ;NRM;D;54.0
2025-01-05;AZ;NRM;E;4.0
2025-01-05;AZ;NRM;G;2.0
2025-01-05;BY;NRM;A;2529.0
2025-01-05;BY;NRM;B;2074.0
2025-01-05;BY;NRM;C;133.0
2025-01-05;BY;NRM;D;19.0
2025-01-05;BY;NRM;E;2.0
2025-01-05;KG;NRM;A;195.0
2025-01-05;KG;NRM;B;205.0
2025-01-05;KG;NRM;C;44.0
2025-01-05;KG;NRM;D;7.0
2025-01-05;KG;NRM;E;1.0
2025-01-06;AZ;NRM;A;267.0
2025-01-06;AZ;NRM;B;389.0
2025-01-06;AZ;NRM;C;98.0
2025-01-06;AZ;NRM;D;45.0
2025-01-06;AZ;NRM;E;4.0
2025-01-06;BY;NRM;A;1792.0
2025-01-06;BY;NRM;B;1322.0
2025-01-06;BY;NRM;C;59.0
2025-01-06;BY;NRM;D;18.0
2025-01-06;KG;NRM;A;105.0
2025-01-06;KG;NRM;B;138.0
2025-01-06;KG;NRM;C;19.0
2025-01-06;KG;NRM;D;10.0
2025-01-08;AZ;NRM;A;543.0
2025-01-08;AZ;NRM;B;882.0
2025-01-08;AZ;NRM;C;230.0
2025-01-08;AZ;NRM;D;72.0
2025-01-08;AZ;NRM;E;3.0
2025-01-08;AZ;NRM;F;1.0
2025-01-08;BY;NRM;A;4292.0
2025-01-08;BY;NRM;B;3196.0
2025-01-08;BY;NRM;C;173.0
2025-01-08;BY;NRM;D;44.0
2025-01-08;BY;NRM;E;5.0
2025-01-08;KG;NRM;A;241.0
2025-01-08;KG;NRM;B;268.0
2025-01-08;KG;NRM;C;54.0
2025-01-08;KG;NRM;D;24.0
2025-01-10;AZ;NRM;A;614.0
2025-01-10;AZ;NRM;B;1022.0
2025-01-10;AZ;NRM;C;260.0
2025-01-10;AZ;NRM;D;77.0
2025-01-10;AZ;NRM;E;7.0
2025-01-10;AZ;NRM;F;3.0
2025-01-10;BY;NRM;A;4839.0
2025-01-10;BY;NRM;B;3650.0
2025-01-10;BY;NRM;C;201.0
2025-01-10;BY;NRM;D;44.0
2025-01-10;BY;NRM;E;7.0
2025-01-10;BY;NRM;F;1.0
2025-01-10;KG;NRM;A;258.0
2025-01-10;KG;NRM;B;318.0
2025-01-10;KG;NRM;C;55.0
2025-01-10;KG;NRM;D;13.0
2025-01-10;KG;NRM;E;3.0
2025-01-12;AZ;NRM;A;660.0
2025-01-12;AZ;NRM;B;1038.0
2025-01-12;AZ;NRM;C;294.0
2025-01-12;AZ;NRM;D;123.0
2025-01-12;AZ;NRM;E;6.0
2025-01-12;AZ;NRM;F;1.0
2025-01-12;AZ;NRM;G;1.0
2025-01-12;BY;NRM;A;4435.0
2025-01-12;BY;NRM;B;3634.0
2025-01-12;BY;NRM;C;202.0
2025-01-12;BY;NRM;D;42.0
2025-01-12;BY;NRM;E;3.0
2025-01-12;KG;NRM;A;269.0
2025-01-12;KG;NRM;B;324.0
2025-01-12;KG;NRM;C;57.0
2025-01-12;KG;NRM;D;22.0
2025-01-12;KG;NRM;E;1.0
2025-01-12;KG;NRM;G;1.0
2025-01-13;AZ;NRM;A;263.0
2025-01-13;AZ;NRM;B;409.0
2025-01-13;AZ;NRM;C;122.0
2025-01-13;AZ;NRM;D;47.0
2025-01-13;AZ;NRM;E;3.0
2025-01-13;BY;NRM;A;2022.0
2025-01-13;BY;NRM;B;1494.0
2025-01-13;BY;NRM;C;99.0
2025-01-13;BY;NRM;D;25.0
2025-01-13;BY;NRM;E;2.0
2025-01-13;KG;NRM;A;99.0
2025-01-13;KG;NRM;B;138.0
2025-01-13;KG;NRM;C;20.0
2025-01-13;KG;NRM;D;7.0
2025-01-13;KG;NRM;E;1.0
2025-01-15;AZ;NRM;A;492.0
2025-01-15;AZ;NRM;B;768.0
2025-01-15;AZ;NRM;C;180.0
2025-01-15;AZ;NRM;D;80.0
2025-01-15;AZ;NRM;E;8.0
2025-01-15;AZ;NRM;F;2.0
2025-01-15;BY;NRM;A;3844.0
2025-01-15;BY;NRM;B;2951.0
2025-01-15;BY;NRM;C;156.0
2025-01-15;BY;NRM;D;26.0
2025-01-15;BY;NRM;E;3.0
2025-01-15;KG;NRM;A;209.0
2025-01-15;KG;NRM;B;274.0
2025-01-15;KG;NRM;C;43.0
2025-01-15;KG;NRM;D;23.0
2025-01-15;KG;NRM;E;3.0
2025-01-17;AZ;NRM;A;532.0
2025-01-17;AZ;NRM;B;795.0
2025-01-17;AZ;NRM;C;184.0
2025-01-17;AZ;NRM;D;67.0
2025-01-17;AZ;NRM;E;13.0
2025-01-17;AZ;NRM;F;1.0
2025-01-17;BY;NRM;A;4998.0
2025-01-17;BY;NRM;B;3680.0
2025-01-17;BY;NRM;C;208.0
2025-01-17;BY;NRM;D;39.0
2025-01-17;BY;NRM;E;4.0
2025-01-17;KG;NRM;A;274.0
2025-01-17;KG;NRM;B;295.0
2025-01-17;KG;NRM;C;55.0
2025-01-17;KG;NRM;D;13.0
2025-01-17;KG;NRM;E;1.0
2025-01-19;AZ;NRM;A;513.0
2025-01-19;AZ;NRM;B;753.0
2025-01-19;AZ;NRM;C;215.0
2025-01-19;AZ;NRM;D;70.0
2025-01-19;AZ;NRM;E;7.0
2025-01-19;AZ;NRM;F;1.0
2025-01-19;AZ;NRM;G;1.0
2025-01-19;BY;NRM;A;4566.0
2025-01-19;BY;NRM;B;3304.0
2025-01-19;BY;NRM;C;179.0
2025-01-19;BY;NRM;D;37.0
2025-01-19;BY;NRM;E;4.0
2025-01-19;KG;NRM;A;266.0
2025-01-19;KG;NRM;B;300.0
2025-01-19;KG;NRM;C;51.0
2025-01-19;KG;NRM;D;15.0
2025-01-19;KG;NRM;E;1.0
2025-01-20;AZ;NRM;A;193.0
2025-01-20;AZ;NRM;B;319.0
2025-01-20;AZ;NRM;C;95.0
2025-01-20;AZ;NRM;D;31.0
2025-01-20;AZ;NRM;E;1.0
2025-01-20;BY;NRM;A;1495.0
2025-01-20;BY;NRM;B;1278.0
2025-01-20;BY;NRM;C;62.0
2025-01-20;BY;NRM;D;15.0
2025-01-20;BY;NRM;E;1.0
2025-01-20;KG;NRM;A;92.0
2025-01-20;KG;NRM;B;120.0
2025-01-20;KG;NRM;C;28.0
2025-01-20;KG;NRM;D;6.0
2025-01-20;KG;NRM;E;1.0
2025-01-22;AZ;NRM;A;422.0
2025-01-22;AZ;NRM;B;697.0
2025-01-22;AZ;NRM;C;157.0
2025-01-22;AZ;NRM;D;52.0
2025-01-22;AZ;NRM;E;7.0
2025-01-22;AZ;NRM;G;1.0
2025-01-22;BY;NRM;A;4153.0
2025-01-22;BY;NRM;B;2904.0
2025-01-22;BY;NRM;C;138.0
2025-01-22;BY;NRM;D;39.0
2025-01-22;KG;NRM;A;272.0
2025-01-22;KG;NRM;B;250.0
2025-01-22;KG;NRM;C;53.0
2025-01-22;KG;NRM;D;13.0
2025-01-24;AZ;NRM;A;412.0
2025-01-24;AZ;NRM;B;700.0
2025-01-24;AZ;NRM;C;162.0
2025-01-24;AZ;NRM;D;45.0
2025-01-24;AZ;NRM;E;3.0
2025-01-24;AZ;NRM;F;1.0
2025-01-24;BY;NRM;A;4296.0
2025-01-24;BY;NRM;B;3337.0
2025-01-24;BY;NRM;C;145.0
2025-01-24;BY;NRM;D;33.0
2025-01-24;BY;NRM;E;4.0
2025-01-24;BY;NRM;F;1.0
2025-01-24;KG;NRM;A;191.0
2025-01-24;KG;NRM;B;257.0
2025-01-24;KG;NRM;C;43.0
2025-01-24;KG;NRM;D;32.0
2025-01-26;AZ;NRM;A;477.0
2025-01-26;AZ;NRM;B;692.0
2025-01-26;AZ;NRM;C;187.0
2025-01-26;AZ;NRM;D;70.0
2025-01-26;AZ;NRM;E;8.0
2025-01-26;BY;NRM;A;5963.0
2025-01-26;BY;NRM;B;4100.0
2025-01-26;BY;NRM;C;204.0
2025-01-26;BY;NRM;D;54.0
2025-01-26;BY;NRM;E;5.0
2025-01-26;BY;NRM;F;1.0
2025-01-26;KG;NRM;A;249.0
2025-01-26;KG;NRM;B;275.0
2025-01-26;KG;NRM;C;58.0
2025-01-26;KG;NRM;D;18.0
2025-01-31;AZ;NRM;A;527.0
2025-01-31;AZ;NRM;B;948.0
2025-01-31;AZ;NRM;C;227.0
2025-01-31;AZ;NRM;D;83.0
2025-01-31;AZ;NRM;E;10.0
2025-01-31;AZ;NRM;G;1.0
2025-01-31;BY;NRM;A;5627.0
2025-01-31;BY;NRM;B;4396.0
2025-01-31;BY;NRM;C;221.0
2025-01-31;BY;NRM;D;44.0
2025-01-31;BY;NRM;E;4.0
2025-01-31;KG;NRM;A;294.0
2025-01-31;KG;NRM;B;330.0
2025-01-31;KG;NRM;C;65.0
2025-01-31;KG;NRM;D;24.0
2025-01-31;KG;NRM;E;1.0
2025-02-02;AZ;NRM;A;298.0
2025-02-02;AZ;NRM;B;475.0
2025-02-02;AZ;NRM;C;123.0
2025-02-02;AZ;NRM;D;43.0
2025-02-02;AZ;NRM;E;7.0
2025-02-02;BY;NRM;A;4745.0
2025-02-02;BY;NRM;B;3392.0
2025-02-02;BY;NRM;C;171.0
2025-02-02;BY;NRM;D;28.0
2025-02-02;BY;NRM;E;6.0
2025-02-02;KG;NRM;A;181.0
2025-02-02;KG;NRM;B;217.0
2025-02-02;KG;NRM;C;47.0
2025-02-02;KG;NRM;D;23.0
2025-02-02;KG;NRM;E;1.0
2025-02-03;AZ;NRM;A;105.0
2025-02-03;AZ;NRM;B;223.0
2025-02-03;AZ;NRM;C;52.0
2025-02-03;AZ;NRM;D;6.0
2025-02-03;AZ;NRM;E;1.0
2025-02-03;BY;NRM;A;1893.0
2025-02-03;BY;NRM;B;1494.0
2025-02-03;BY;NRM;C;77.0
2025-02-03;BY;NRM;D;22.0
2025-02-03;KG;NRM;A;108.0
2025-02-03;KG;NRM;B;120.0
2025-02-03;KG;NRM;C;25.0
2025-02-03;KG;NRM;D;6.0
2025-02-03;KG;NRM;E;1.0
2025-02-05;AZ;NRM;A;93.0
2025-02-05;AZ;NRM;B;210.0
2025-02-05;AZ;NRM;C;56.0
2025-02-05;AZ;NRM;D;8.0
2025-02-05;AZ;NRM;E;1.0
2025-02-05;BY;NRM;A;2812.0
2025-02-05;BY;NRM;B;1933.0
2025-02-05;BY;NRM;C;94.0
2025-02-05;BY;NRM;D;15.0
2025-02-05;KG;NRM;A;160.0
2025-02-05;KG;NRM;B;144.0
2025-02-05;KG;NRM;C;30.0
2025-02-05;KG;NRM;D;5.0
2025-02-07;AZ;NRM;A;289.0
2025-02-07;AZ;NRM;B;434.0
2025-02-07;AZ;NRM;C;105.0
2025-02-07;AZ;NRM;D;35.0
2025-02-07;AZ;NRM;E;1.0
2025-02-07;BY;NRM;A;3733.0
2025-02-07;BY;NRM;B;2351.0
2025-02-07;BY;NRM;C;116.0
2025-02-07;BY;NRM;D;18.0
2025-02-07;KG;NRM;A;178.0
2025-02-07;KG;NRM;B;151.0
2025-02-07;KG;NRM;C;42.0
2025-02-07;KG;NRM;D;13.0
2025-02-07;KG;NRM;E;1.0
2025-02-07;KG;NRM;F;1.0
2025-02-09;AZ;NRM;A;672.0
2025-02-09;AZ;NRM;B;887.0
2025-02-09;AZ;NRM;C;217.0
2025-02-09;AZ;NRM;D;69.0
2025-02-09;AZ;NRM;E;10.0
2025-02-09;BY;NRM;A;5008.0
2025-02-09;BY;NRM;B;3529.0
2025-02-09;BY;NRM;C;159.0
2025-02-09;BY;NRM;D;46.0
2025-02-09;BY;NRM;E;4.0
2025-02-09;BY;NRM;F;1.0
2025-02-09;KG;NRM;A;260.0
2025-02-09;KG;NRM;B;265.0
2025-02-09;KG;NRM;C;53.0
2025-02-09;KG;NRM;D;12.0
2025-02-09;KG;NRM;E;1.0
2025-02-10;AZ;NRM;A;493.0
2025-02-10;AZ;NRM;B;888.0
